businessID,neighborhoodName,businessID,address,businessName,photoURL,city,state,url,reviewCount,stars,longitude,latitude
67I-i6Qk9j9dwxl87ivxdA,University City,67I-i6Qk9j9dwxl87ivxdA,"8899 University Center LnSte 190University CitySan Diego, CA 92122",Center For Dental Health,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,San Diego,CA,http://www.yelp.com/biz/center-for-dental-health-san-diego,5,4.5,-117.2280774,32.8700905
69k7MF2-nXq-tNNHrJYONw,University City,69k7MF2-nXq-tNNHrJYONw,"3925 Walnut StUniversity CityPhiladelphia, PA 19104",Chipotle,http://s3-media2.ak.yelpcdn.com/bphoto/fTYeQPy8PKMZr3afLDM_fg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/chipotle-philadelphia-2,39,3.5,-75.2019963,39.9541371
69sXOTB3jAMbyGV_aSMfWg,University City,69sXOTB3jAMbyGV_aSMfWg,"3424 Sansom StUniversity CityPhiladelphia, PA 19104",The Black Cat,http://s3-media2.ak.yelpcdn.com/bphoto/otutQl2XuIZkHLA5pi83Vg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/the-black-cat-philadelphia,11,4,-75.1930029,39.9536639
6FJ98yiQFVjZnZq5vl6luQ,University City,6FJ98yiQFVjZnZq5vl6luQ,"9800 Hibert streetUniversity CitySan Diego, CA 92131",Hair by JMoli,http://s3-media1.ak.yelpcdn.com/bphoto/nl0YGcZgYuPoSDPBDejwgg/ms.jpg,San Diego,CA,http://www.yelp.com/biz/hair-by-jmoli-san-diego,7,5,-117.2254944,32.87093694
6GXMHrB8u-3nq87zE1Av0w,University City,6GXMHrB8u-3nq87zE1Av0w,"3402 Sansom StUniversity CityPhiladelphia, PA 19104",Baby Blues BBQ,http://s3-media1.ak.yelpcdn.com/bphoto/Qfj_a_qBNM7XF5i6TEtnMA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/baby-blues-bbq-philadelphia,78,3,-75.192424,39.953442
76e065wK_xyZnINUm07vVA,University City,76e065wK_xyZnINUm07vVA,"2955 Market StreetUniversity CityPhiladelphia, PA 19104",Amtrak,http://s3-media4.ak.yelpcdn.com/bphoto/ar_W5Y-nZM97P8M0hL_vcA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/amtrak-philadelphia,38,3.5,-75.1850492,39.9546084
78kUZU8GPfHgoYO_2CNbuQ,University City,78kUZU8GPfHgoYO_2CNbuQ,"218 S 40th StSte AUniversity CityPhiladelphia, PA 19104",Ben & Jerry's,http://s3-media4.ak.yelpcdn.com/bphoto/wfrwo-D7Ax4iBhMsE2_k8Q/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/ben-and-jerrys-philadelphia-2,11,3.5,-75.2027264,39.9534731
7NlcGz2E_pOs8y8N8rDR6Q,University City,7NlcGz2E_pOs8y8N8rDR6Q,"233 S 33rd StUniversity CityPhiladelphia, PA 19104",Brysi,http://s3-media1.ak.yelpcdn.com/bphoto/0rX6L8bdEI3Q_qZJuV7YLQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/brysi-philadelphia,3,4,-75.1902895,39.9514904
8fN1DiPUUWAhLsZW4xSSJQ,University City,8fN1DiPUUWAhLsZW4xSSJQ,"3400 Market StUniversity CityPhiladelphia, PA 19104",Philly Delicias,http://s3-media3.ak.yelpcdn.com/bphoto/HlCSGjE8nj49ZCN34RnMww/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/philly-delicias-philadelphia,21,4,-75.1917267,39.9556923
8LEFMNR4_qVRSTsngTW-VQ,University City,8LEFMNR4_qVRSTsngTW-VQ,"3400 Civic Center Blvd1st Fl TRC/Perelman CtrUniversity CityPhiladelphia, PA 19104",Soup'er Sushi,http://s3-media2.ak.yelpcdn.com/bphoto/zfC1rQtFJbNDcRJP-SylAQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/souper-sushi-philadelphia,2,5,-75.1934743,39.9475112
